TD_NG,trial-06_33.coll.txt	Feb,29,2016,15:45:25
TD_NG,trial-06_34.coll.txt	Feb,29,2016,15:45:43
TD_NG,trial-06_35.coll.txt	Feb,29,2016,15:46:02
TD_NG,trial-06_36.coll.txt	Feb,29,2016,15:46:20
TD_NG,trial-06_37.coll.txt	Feb,29,2016,15:46:38
TD_NG,trial-06_38.coll.txt	Feb,29,2016,15:46:56
TD_NG,trial-06_39.coll.txt	Feb,29,2016,15:47:15
TD_NG,trial-06_40.coll.txt	Feb,29,2016,15:47:33
TD_NG,trial-06_41.coll.txt	Feb,29,2016,15:47:51
TD_NG,trial-06_42.coll.txt	Feb,29,2016,15:48:09
TD_NG,trial-06_43.coll.txt	Feb,29,2016,15:48:27
TD_NG,trial-06_44.coll.txt	Feb,29,2016,15:48:45
TD_NG,trial-06_45.coll.txt	Feb,29,2016,15:49:03
TD_NG,trial-06_46.coll.txt	Feb,29,2016,15:49:21
TD_NG,trial-06_47.coll.txt	Feb,29,2016,15:49:40
TD_NG,trial-06_48.coll.txt	Feb,29,2016,15:49:58
TD_NG,trial-06_49.coll.txt	Feb,29,2016,15:50:15
TD_NG,trial-07_-2.coll.txt	Feb,29,2016,15:52:15
TD_NG,trial-07_-1.coll.txt	Feb,29,2016,15:52:34
TD_NG,trial-07_01.coll.txt	Feb,29,2016,15:52:52
TD_NG,trial-07_02.coll.txt	Feb,29,2016,15:53:10
TD_NG,trial-07_03.coll.txt	Feb,29,2016,15:53:28
TD_NG,trial-07_04.coll.txt	Feb,29,2016,15:53:47
TD_NG,trial-07_05.coll.txt	Feb,29,2016,15:54:05
TD_NG,trial-07_06.coll.txt	Feb,29,2016,15:54:24
TD_NG,trial-07_07.coll.txt	Feb,29,2016,15:54:41
TD_NG,trial-07_08.coll.txt	Feb,29,2016,15:54:59
TD_NG,trial-07_09.coll.txt	Feb,29,2016,15:55:17
TD_NG,trial-07_10.coll.txt	Feb,29,2016,15:55:35
TD_NG,trial-07_11.coll.txt	Feb,29,2016,15:55:53
TD_NG,trial-07_12.coll.txt	Feb,29,2016,15:56:11
TD_NG,trial-07_13.coll.txt	Feb,29,2016,15:56:29
TD_NG,trial-07_14.coll.txt	Feb,29,2016,15:56:46
TD_NG,trial-07_15.coll.txt	Feb,29,2016,15:57:04
TD_NG,trial-07_16.coll.txt	Feb,29,2016,15:57:22
TD_NG,trial-07_17.coll.txt	Feb,29,2016,15:57:40
TD_NG,trial-07_18.coll.txt	Feb,29,2016,15:57:57
TD_NG,trial-07_19.coll.txt	Feb,29,2016,15:58:15
TD_NG,trial-07_20.coll.txt	Feb,29,2016,15:58:33
TD_NG,trial-07_21.coll.txt	Feb,29,2016,15:58:50
TD_NG,trial-07_22.coll.txt	Feb,29,2016,15:59:09
TD_NG,trial-07_23.coll.txt	Feb,29,2016,15:59:26
TD_NG,trial-07_24.coll.txt	Feb,29,2016,15:59:44
TD_NG,trial-07_25.coll.txt	Feb,29,2016,16:00:03
TD_NG,trial-07_26.coll.txt	Feb,29,2016,16:00:21
TD_NG,trial-07_27.coll.txt	Feb,29,2016,16:00:39
TD_NG,trial-07_28.coll.txt	Feb,29,2016,16:00:57
TD_NG,trial-07_29.coll.txt	Feb,29,2016,16:01:15
TD_NG,trial-07_30.coll.txt	Feb,29,2016,16:01:32
TD_NG,trial-07_31.coll.txt	Feb,29,2016,16:01:50
TD_NG,trial-07_32.coll.txt	Feb,29,2016,16:02:07
TD_NG,trial-07_33.coll.txt	Feb,29,2016,16:02:25
TD_NG,trial-07_34.coll.txt	Feb,29,2016,16:02:43
TD_NG,trial-07_35.coll.txt	Feb,29,2016,16:03:01
TD_NG,trial-07_36.coll.txt	Feb,29,2016,16:03:18
TD_NG,trial-07_37.coll.txt	Feb,29,2016,16:03:36
TD_NG,trial-07_38.coll.txt	Feb,29,2016,16:03:54
TD_NG,trial-07_39.coll.txt	Feb,29,2016,16:04:12
TD_NG,trial-07_40.coll.txt	Feb,29,2016,16:04:29
TD_NG,trial-07_41.coll.txt	Feb,29,2016,16:04:46
TD_NG,trial-07_42.coll.txt	Feb,29,2016,16:05:04
TD_NG,trial-07_43.coll.txt	Feb,29,2016,16:05:22
TD_NG,trial-07_44.coll.txt	Feb,29,2016,16:05:39
TD_NG,trial-07_45.coll.txt	Feb,29,2016,16:05:57
TD_NG,trial-07_46.coll.txt	Feb,29,2016,16:06:15
TD_NG,trial-07_47.coll.txt	Feb,29,2016,16:06:33
TD_NG,trial-07_48.coll.txt	Feb,29,2016,16:06:51
TD_NG,trial-08_-2.coll.txt	Feb,29,2016,16:09:28
TD_NG,trial-08_-1.coll.txt	Feb,29,2016,16:09:46
TD_NG,trial-08_01.coll.txt	Feb,29,2016,16:10:04
TD_NG,trial-08_02.coll.txt	Feb,29,2016,16:10:21
TD_NG,trial-08_03.coll.txt	Feb,29,2016,16:10:40
TD_NG,trial-08_04.coll.txt	Feb,29,2016,16:10:57
TD_NG,trial-08_05.coll.txt	Feb,29,2016,16:11:15
TD_NG,trial-08_06.coll.txt	Feb,29,2016,16:11:33
TD_NG,trial-08_07.coll.txt	Feb,29,2016,16:11:52
TD_NG,trial-08_08.coll.txt	Feb,29,2016,16:12:10
TD_NG,trial-08_09.coll.txt	Feb,29,2016,16:12:28
TD_NG,trial-08_10.coll.txt	Feb,29,2016,16:12:47
TD_NG,trial-08_11.coll.txt	Feb,29,2016,16:13:05
TD_NG,trial-08_12.coll.txt	Feb,29,2016,16:13:23
TD_NG,trial-08_13.coll.txt	Feb,29,2016,16:13:41
TD_NG,trial-08_14.coll.txt	Feb,29,2016,16:14:00
TD_NG,trial-08_15.coll.txt	Feb,29,2016,16:14:18
TD_NG,trial-08_16.coll.txt	Feb,29,2016,16:14:35
TD_NG,trial-08_17.coll.txt	Feb,29,2016,16:14:53
TD_NG,trial-08_18.coll.txt	Feb,29,2016,16:15:11
TD_NG,trial-08_19.coll.txt	Feb,29,2016,16:15:29
TD_NG,trial-08_20.coll.txt	Feb,29,2016,16:15:47
TD_NG,trial-08_21.coll.txt	Feb,29,2016,16:16:05
TD_NG,trial-08_22.coll.txt	Feb,29,2016,16:16:23
TD_NG,trial-08_23.coll.txt	Feb,29,2016,16:16:41
TD_NG,trial-08_24.coll.txt	Feb,29,2016,16:16:59
TD_NG,trial-08_25.coll.txt	Feb,29,2016,16:17:16
TD_NG,trial-08_26.coll.txt	Feb,29,2016,16:17:33
TD_NG,trial-08_27.coll.txt	Feb,29,2016,16:17:51
TD_NG,trial-08_28.coll.txt	Feb,29,2016,16:18:10
TD_NG,trial-08_29.coll.txt	Feb,29,2016,16:18:28
TD_NG,trial-08_30.coll.txt	Feb,29,2016,16:18:46
TD_NG,trial-08_31.coll.txt	Feb,29,2016,16:19:03
TD_NG,trial-08_32.coll.txt	Feb,29,2016,16:19:21
TD_NG,trial-08_33.coll.txt	Feb,29,2016,16:19:38
